Rating,Title,Full Comment,Upvotes,Downvotes,Date
10,Amazing Anime,"This anime is simply amazing! The way it is animated, the soundtrack, the characters, the story, the thrill and the suspense. All in one action-packed anime. One of the best so far. As it has only 9 episodes as of now ... many critics say that it is way too early to rate an anime. But, according to me, this is pure class. The soundtrack's tempo varies according to the situation and this makes it more exciting. The ending of the episode is something that NO one will look forward to as NO one will want it to end. A must watch for every anime lover and of course the manga is available as well. Although a bit gory, the epicness makes up for it! You know those animes that catch your eye from the first episode, this is one of them.",607,91,"Jun 5, 2013"
Helpful,No title,No content,13,0,"Dec 31, 2021"
6,Disappointing in the Best Way,"Season 1: 7/10

This is probably the best the show ever was, despite all the anime-isms that make parts of it hard to take seriously. It's exciting, it's mysterious, and it does a fantastic job of setting the tone.

Season 2: 6/10

This season is fine, it strays from the first season's tone a bit more than I'd like and it's full of conversations between major characters that the audience has zero context for, making this is a frustrating season to watch. On top of that, what should've been one of the show's biggest reveals is extremely downplayed to the detriment of the season.

Season 3: 5/10

I'm very mixed about this season. It's divided into two distinct arcs, the first of which is awful and the second of which is nearly the same level of quality as the first season. The structure and pacing of the first arc is terrible, the villains are bland and either not fleshed out at all or too late for the audience to care. The second arc of this season, however, is exciting and much more important to the overall narrative of the show. It still fails to perfectly recapture the tone of season one, but it's very good. The first arc is a 3/10 and the second if a 7/10, so rating-wise I took the average.

Season 4: 6/10

This season was difficult to get through for me, not because it was bad but because it was so different, There was so much information, and there were so many new characters and conflicts. It was a lot, but I think in the end it mostly worked. Not every new character or plot thread mattered in the grand scheme of things, while others mattered a lot and significantly impacted the narrative. The animation style was also very different this season and unfortunately it was to the show's detriment.

Overall, I like this show a lot, but it has some significant problems. My biggest complaint was that the tone was set perfectly in season one, then largely abandoned for the rest of the series. Despite this, the show is exciting, the music and animation is (mostly) great, and the characters are well-realized and fun to watch.",100,214,"Oct 29, 2015"
4,One of the best ever,"Season 4 is halfway through already, and I have gone back once again to re-watch the previous seasons, and it truly is a masterpiece on all levels. I had to pause S1E06 just now to write this review as 9 minutes into that episode had me crying again.

I have been watching AoT since 2013, eagerly awaiting each new episode and season, and it's hard to believe the series is ending very soon. ""Don't be sad that it's over, be happy that it happened"", and all that...

For a time my top 3 running shows were GoT, Vikings, and AoT. Sadly, GoT collapsed before the finish line, Vikings slowly fizzled out in quality after its fourth season, yet Attack on Titan has held strong and not only remained brilliant, but actually improved in many ways as the show progressed, which is incredibly rare.

I still to this day listen to the amazing soundtrack while doing other things, and each time I return to watching the show, it's hard to pinpoint anything bad about it really. And I know some people will say that AoT is overrated, and I might have thought that at some points in the show also, such as at various points in Season 2 and 3, but when you see how it all connects together and makes overall sense in the macro, some seemingly weaker aspects or things that appear nonsensical, overly contrived or dramatized at the time, make sense upon revisiting it, or at least that was my experience.

Anyway, I would give Attack on Titan a 10/10 simply because it is so intensely watchable, engaging, inspiring, epic, thought-provoking, anti-war, spine-chilling, horrifying at times, emotional and tear-inducing.

If you liked the early seasons of Game of Thrones, Vikings, Breaking Bad, Fullmetal Alchemist, and other similar shows, then Attack on Titan is indeed for you.

Now to slowly endure the agonising anticipation for each new and final episode of the last season...

P.S. - a good companion documentary to this is Dominion (2018)",31,52,"Jan 31, 2021"
10,Legendary show.,No content,319,44,"Apr 8, 2021"
10,If I could rate this 100 I would.,Never have I been one to seek out Anime but this show was recommended to me very heavily multiple times. I eventually caved and watched the first episode. I was then sucked into the most intense binge watch I've ever experienced. It is on second to Band of Brothers in my personal favorite shows. I have no words to truly describe how incredible this show is. I wish I could go back in time and watch it for the first time again. This show had almost ruined all other tv shows for me because I know they will never even come close to being as perfect as this show. The characters and story line are impeccable.,20,0,"Jun 28, 2024"
10,Still recovering,No content,20,0,"May 29, 2024"
10,"Season 4, what can we expect?","A lot of people have this question, can season 4 beat season 3 part 2? And the answer is yes! Isn't full of action, is like a combination of all the seasons, great plot, the best charachter development in all the serie, great action, and a lot of plot twist. October 2020, please I need you right now!",567,88,"Jan 4, 2020"
10,1 episode left..,"Ive been watching this show since 2016, and I wanted to write a review for it but I couldn't because with every new episode i have a mixed feelings and i can't determine where am i from this show. But now, with only 1 episode left, i can finally write whats in my heart.

In AOT, you dont have to support the ""good"" against the ""evil"", because simply there's no such thing in this world. Usually, an any work whether if its a movie, tv show or an anime, there's sides and you as a viewer have the choice to support whatever you like good or bad. Most people choose the good side, some choose the bad one. This type of work represents almost 75% of all the works out there. So some of us have adjusted to the idea of good and bad sides.

The other 25% are shows, movies and animes like AOT, they are psychologically complexed with a lot of twists and most importantly no good or bad sides. These kind of animes describes the world and our reality in such a scary truthful way, it mixes your emotions and feelings and you dont know what to think, makes you consider a thousand time before calling a character good or bad, this is AOT.

After completing most of the show i can say, that AOT reached a high level of realism. That you dont have to determine in which side are you.

One advice for anyone who hasn't saw AOT or is still in the beginning, dont take sides, just enjoy the anime because I believe its the best anime in the world.",393,61,"Mar 25, 2022"
10,The Greatest Animanga of all Time,"Attack on Titan is the king of world building and plot. With ultra realistic consequences missing from a lot of animation, Attack on Titan stands out as it has an incredibly dark world with actually stakes. The aspects of horror and adrenaline when there's an action scene is stellar. The characters, action and music could carry episodes but don't have to because the show is already that good. Characters have depth and feel like real people, they die constantly and never feel 100% safe. The action is some of the best action in any show. Mystery aspects make even moments that could come off as bland feel so much more impactful. This is perhaps one of the best stories ever written. The Music makes this epic world feel vast and important, while also sounding phenomenal. Attack on Titan is a masterpiece of our generation and my favorite TV Show of all time.",282,45,"Jun 17, 2020"
Helpful,No title,No content,151,35,"Feb 13, 2019"
7,I get the Game of Thrones/Skyrim vibes off this!,No content,85,259,"Sep 4, 2018"
10,I wish there was a reply button for some of the reviews here! Anything less than a 9 out of 10 for this masterpiece is stupid,"Some of the people have rated this show a 1 out of 10. And I understand why. The Plot is so well written, you won't even know the real storyline until season 3 or whatever. On the outside it seems a pretty simple story. Demons vs humans. Who will win? That is hardly the story at all... and even thinking that, I watched through the first 2 seasons. And even then I was hooked because of great story building and great great climaxes and actions and all. I thought season 1 ending was insane. Then season 2 came. I thought It was even crazier. Then season 3! A literal masterpiece... specially the second arc. and the 4th season is expected to be God Level. And I expect nothing less from the greatest anime of all time. That's how good the story is! It's complex yes. Greatest Plot I have ever seen on a show. I love breaking bad, I love Avatar the last air-bender, I love Game of thrones. But The story line, music, and the voice acting are all 10/10 easily. Do yourself a favor, don't judge it by it's cover, get through some quality anime till you reach God level story telling. You will thank me when you reach the season 3 finale, GUARANTEED!",465,81,"Aug 26, 2020"
10,My god,"This series is really ahead of its time, its brilliant and its definitely the best tv show ive ever watched in my life. The fact that it has an imdb of 8.8 is a disgrace, it deserves way better than that especially after the glorious season 3 part 2. This anime is way better than rick and morty, way better than even game of thrones, but the ppl in charge of imdb give it a way lower ratings than those two?......balls. This anime deserves a lot more respect.",424,75,"Jun 6, 2020"
10,Master of Storytelling,"I am not the regular anime fan, I've seen some really good ones but Attack on Titan sits on a whole other level of amazing writing.

The way the story unfolds is so well written and engaging, that I was hooked since the first season where the plot seemed to be a very basic revenge story between humans stuck living inside mysterious walls and their nemesis, humanoid titans which seems to exist with the sole purpose of eating humans alive.

It's hard to make a detailed review without giving up on spoilers, I've shared the premises, but Attack on Titan is so much more than that... From the parallelisms with the real world depicting themes like war, greed, complacency, the inherit curiosity for exploration all the way to the grey characters and their respective development, I can only say good things about this anime.

Ambiguity is an ever present concept in our lives, and this show depicts it like very few do, this associated with how brilliant the characters evolve throughout all 4 seasons its remarkable, you can empathize with someone that made the most awful things and that shows how brilliant the creator is.

Adding to all the above, you will be facing many mind blowing twists and unexpected dark turns on the story, with one of the best animation work I've ever seen on screen, specially the most recent episodes - considering this started almost 10 years ago!

Outstanding soundtrack, I get the chills on many of the fight scenes and of course it goes without saying that the fights themselves are brilliant, nerve wracking and make you so hyped with all of the elements of the action combined, really a one of a kind TV show.

I am eagerly waiting for the final part next year I don't know if it wraps up badly but up until this point it's a flawless masterpiece and I don't say that lightly.

EDIT AFTER SERIES FINALE: It's quite the challenge to say the least to end a series like this one, after having watched the final episode I can safely reinforce how much of a masterpiece this anime is.... The message in the end transcends entertainment, it's a timeless lesson and it is scary how close to reality it is. It's almost impossible to get into detail without writing a full script so I'll leave it at this; this is one of the best TV shows ever created, don't take my word for it go binge it now that it wrapped up!",215,37,"Apr 4, 2022"
10,How Animes Should Be,"A well made anime. The feel this show gives is just awesome. I always want more of it and one episode a week is just so not fair. Right now I am on 20th episode and it's really getting better.

The show hooked me from the very first episode. How action and emotions connects and make a perfect atmosphere for Titans, monsters who like to eat humans just for fun, and humans, fighting for their existence when stuck inside three walls.How main characters who aren't super powerful yet give a promising touch to the show. And how they show a real management work even when their is anger, fear and blood in the air.

Characters are super cool and feel real unlike regular animes. This show is a guarantee of entertainment. Give it a try.",248,46,"Aug 25, 2013"
10,The most INCREDIBLE show i have ever watched.,"Now that it's nearing it's part 1 ending, i'm so not okay. Binge-watched the whole show in a week or two and it's absolutely phenomenal. To be honest, i haven't even read a single chapter of AOT (Manga). And yet i've become a huge fan of this show. I'm waiting for part 1 to end (although i never wish it to end), so that i can read it completely all 33 Volumes. I could've read it before watching the anime but i hesitated. Because i wanted to know what it'd be like to watch this without reading the Manga.

It's incredible how they managed to make it so special. This show is one of the greatest i have seen. I have watched almost 30 tv shows including Breaking Bad and Game of Thrones in the last couple of years. They were both an amazing show, had huge impact on viewers and general audiences. At the time, for me, GOT was the best of the best. But when i watched this, i'm kinda gradually giving it to AOT. Because it's perfect, every season and almost every episodes.

Although i got a glimpse of what is to come in the next episode. But i didn't read it completely. Still waiting to read. Anyway, i can't wait for the next one, ""Savagery"" to come out. It's going to be beyond epic. I'm quite sure. I'd have rather rated this more than 10 if it was possible.

(Season I : 9.3) (Season II : 9.7)

(Season III : 9.8) (Season IV : 9.8)

Musical Score : 100/100

Characters : 105/100

Animation : 99/100

Story : 110/100.",162,28,"Mar 11, 2021"
10,"Titanic ""Attack on Titan""",No content,329,65,"Aug 30, 2014"
10,Amazing!,"This anime just keeps me on the edge of my seat. Each week I watch and each week I want more. It's intense. The concept and story line are on point and keep you thrilled and wanting more. The only downside is the seven-day waiting for the next episode. Definitely one of the best anime I have seen.

I often watch anime for fun and as a means of passing the time away but with this it's different. I can't tear my eyes away for even a second. A masterpiece in the making. I just hope the producers keep this running for longer instead of cutting it short into a 20-something episode thing such as SAO or BTOOOM!.

Do yourself a favor and follow it.",311,62,"Apr 28, 2013"
10,Don't watch it...,"...if you want to enjoy another movie or series in life.

WTH. Character development, plot, action, mystery and fascination all on point. This masterpiece is scary in a good way. I watch a lot of movies and series, but rarely it touches one of the aspects of this series. You will hate characters and understand them, you will have heroes and question them and they will question their actions themselves. Not like marvel where everything clear after 1min of the trailer. Much more like real life. This has so many levels its just good. Every dialog is just gold. Even if you think ""oh wow now hes whining"", some other character says exactly that. I never had a side story in this series where i thought, come on i want to see the others. Also the details in this show are crazy good. There are banners here and there where they explain in detail the tools they use and other stuff, crazy.

Now lets not only praise it. Lets be real. You will pay weird streaming apps just to watch this. You will be awake at 2 am on working days. You will be very sad watching the last season knowing it will be over soon. Is it worth? Short.... yes. And don't binge watch this like me. Sip it like a good *wine*. But be careful with the wine ;).",40,4,"Jul 2, 2021"
7,Its ok,"Very good seasons 3-4.5. The finale is alright i guess, its nowhere near as good as before.",20,47,"Dec 8, 2019"
5,Amazing!!!!,"So good, I'm waiting the next season , and also a very good SGI and what a wonderful story , I don't know how to i'm gonna wait until next season",13,41,"Jul 13, 2019"
10,Awesome just Awesome,"I've seen all kinds of animes, mostly adult ones because usually they have a better story then kid shows, and I had nothing left to watch so i googled 2013 animes and this one seemed slightly interesting, watched a trailer first and didn't like the trailer, watched the 1st episode and I was hooked, watched the 2nd and i was totally hooked, watched the 3rd and it blew my mind, now I will have to wait every week for an episode daaamn, the first 3 episodes of this anime prove that this anime will be an awesome one, you can foretell that by watching how the first episodes is building up this hype-level of an awesome story which started out sad and is going to become epic and bloody. The concept is unique and I like it. Humans who live inside 50 meters high walls to protect themselves from titans (giants), Eren the main character feels unpleasant about it compared to everybody else because that's not really true freedom for a human to be ""livestock"" inside walls, waiting to get eaten by titans. One day, and that would be the day they would all remember for eternity, the day when first wall fell and hell broke loose, this is where the story starts. And it just gets better and better! There's a lot of emotional and bloody scenes which usually makes up for a good story. You know those animes that catch your eyes on the first episode, this is one of them.",366,77,"Apr 24, 2013"
10,You're telling me a human created this ?,"This is beyond mind blowing. Such a divine, complicated plot and so beautifully connected. Hajime Isayama has the mind of a god to come up with such a deep and complicated plot. Iam still processing the intense and killing plot. No words to describe it. This is the first anime I watched. Changed my whole perspective of anime. Love it.",44,5,"Jan 7, 2022"
10,The most amazing anime I´ve ever seen!,"This anime grabbed me in the first episode and it didn´t release me to the end. I´ve seen all the episodes several times but it still can make me feel like for the first time. It has gripping story, fantastic music and really good animation. Someone can tell that animated serials are for children so if you have one of these people in your friendlist, tell them about this anime. It´s full of blood, gore, cutted extremities and death so they will probably change their mind. The serial stars Yûki Kaji (Eren Yeager), Marina Inoue (Armin Arlert), Yui Ishikawa (Mikasa Ackermann) and many other good voice actors and actress. In the story main characters and other people live in the town surrounded by tall walls. The walls protect people from some kind of creepy humanoid monsters called titan. And those titans really like to kill and eat humans so there are much violent too. But you can´t look at this anime only in bad way. It´s also about friendship, loyalty and many strong feeling made between people in hard situations. It´s about the will of life, political intrigues, freedom and amazing fights against human eating creatures. This anime is great work and nobody can change MY mind.",276,59,"Jan 25, 2019"
10,One of those shows that gets more and more intense,"Trust me, you'll be having almost panic-attack-like excitement after every episode of this programme. You can't ever tell where the story is going next, and the production is riduculous. The cinematics are incredible, the character stories mesh together in perfect harmony and better than anything else - it wants you leaving more and more every single week. Definitely recommend this to not just anyone who loves Anime, but anyone who loves TV!",117,21,"Jun 18, 2019"
10,Best Action Anime.,"One of the best anime u must watch before u die. Best Story ,best characters and best actions.❤❤❤❤",223,47,"Oct 27, 2018"
10,*on the TOP+,"I am writing this review after watching more than 70+ anime series containig food wars, bleech, Fullmetal alchemist +brotherhood, code geass, dath note,Dragon ball Z ⚽ , MHA, parasyte maxim, 0ne punch man 👊, hunter x hunter, etc, etc

even i can say it is the BEST anime i ever seen *top notch animation *best action scenes ever in anime *Top class music (especially back opera) *amazing characters (levi, hanzi zoe, erwin Smith,etc leavin top 3 main characters*) *most importantly story is unique, captative, full of thrillers and even merciless

in end i can only say its a masterpiece. if you haven't seen it you must give it a shot.",191,40,"Oct 30, 2019"
